Simulation,Result
Simulation 1,2
Simulation 1,2
Simulation 1,5
Simulation 1,1
Simulation 1,6
Simulation 1,2
Simulation 1,3
Simulation 1,6
Simulation 1,3
Simulation 1,4
Simulation 1,1
Simulation 1,1
Simulation 1,4
Simulation 1,1
Simulation 1,2
Simulation 1,3
Simulation 1,3
Simulation 1,3
Simulation 1,3
Simulation 1,5
Simulation 1,5
Simulation 1,3
Simulation 1,5
Simulation 1,2
Simulation 1,2
Simulation 1,1
Simulation 1,1
Simulation 1,5
Simulation 1,3
Simulation 1,5
Simulation 1,5
Simulation 1,3
Simulation 1,5
Simulation 1,2
Simulation 1,6
Simulation 1,5
Simulation 1,6
Simulation 1,5
Simulation 1,3
Simulation 1,2
Simulation 1,3
Simulation 1,4
Simulation 1,4
Simulation 1,3
Simulation 1,2
Simulation 1,1
Simulation 1,6
Simulation 1,5
Simulation 1,5
Simulation 1,1
Simulation 1,3
Simulation 1,1
Simulation 1,6
Simulation 1,1
Simulation 1,1
Simulation 1,6
Simulation 1,1
Simulation 1,5
Simulation 1,1
Simulation 1,1
Simulation 1,6
Simulation 1,1
Simulation 1,6
Simulation 1,5
Simulation 1,1
Simulation 1,2
Simulation 1,2
Simulation 1,5
Simulation 1,4
Simulation 1,6
Simulation 1,5
Simulation 1,1
Simulation 1,2
Simulation 1,1
Simulation 1,6
Simulation 1,6
Simulation 1,2
Simulation 1,3
Simulation 1,2
Simulation 1,5
Simulation 1,4
Simulation 1,1
Simulation 1,5
Simulation 1,3
Simulation 1,2
Simulation 1,1
Simulation 1,1
Simulation 1,4
Simulation 1,2
Simulation 1,2
Simulation 1,5
Simulation 1,6
Simulation 1,2
Simulation 1,4
Simulation 1,1
Simulation 1,2
Simulation 1,5
Simulation 1,3
Simulation 1,2
Simulation 1,6
Simulation 2,1
Simulation 2,2
Simulation 2,6
Simulation 2,2
Simulation 2,3
Simulation 2,5
Simulation 2,3
Simulation 2,6
Simulation 2,2
Simulation 2,5
Simulation 2,3
Simulation 2,2
Simulation 2,6
Simulation 2,1
Simulation 2,1
Simulation 2,1
Simulation 2,3
Simulation 2,6
Simulation 2,4
Simulation 2,5
Simulation 2,3
Simulation 2,5
Simulation 2,2
Simulation 2,2
Simulation 2,6
Simulation 2,4
Simulation 2,5
Simulation 2,5
Simulation 2,5
Simulation 2,3
Simulation 2,3
Simulation 2,4
Simulation 2,6
Simulation 2,6
Simulation 2,6
Simulation 2,5
Simulation 2,6
Simulation 2,3
Simulation 2,5
Simulation 2,6
Simulation 2,2
Simulation 2,2
Simulation 2,4
Simulation 2,5
Simulation 2,6
Simulation 2,5
Simulation 2,2
Simulation 2,2
Simulation 2,1
Simulation 2,4
Simulation 2,3
Simulation 2,1
Simulation 2,2
Simulation 2,6
Simulation 2,6
Simulation 2,1
Simulation 2,1
Simulation 2,2
Simulation 2,2
Simulation 2,1
Simulation 2,3
Simulation 2,4
Simulation 2,6
Simulation 2,2
Simulation 2,4
Simulation 2,2
Simulation 2,2
Simulation 2,3
Simulation 2,2
Simulation 2,6
Simulation 2,1
Simulation 2,1
Simulation 2,3
Simulation 2,2
Simulation 2,2
Simulation 2,5
Simulation 2,6
Simulation 2,1
Simulation 2,5
Simulation 2,3
Simulation 2,5
Simulation 2,6
Simulation 2,1
Simulation 2,6
Simulation 2,5
Simulation 2,1
Simulation 2,2
Simulation 2,5
Simulation 2,6
